review,rating,date,bank,source,sentiment_label,sentiment_score,themes
ለኔ በጣም ምርጥ ነው ግን screenshot ማረግ ቢቻል ምርጥ ነበር,5,2025-04-04,CBE,Google Play,neutral,0.0,Functionality
before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,3,2025-04-04,CBE,Google Play,positive,0.4601,"UI & Usability, Feature Request, Functionality, Customer Feedback, Transaction Speed"
cool ❤,4,2025-04-04,CBE,Google Play,positive,0.7579,Uncategorized
best app,5,2025-04-04,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
best banking app,4,2025-04-03,CBE,Google Play,positive,0.6369,"Customer Feedback, UI & Usability, App Purpose"
satisfied,5,2025-04-03,CBE,Google Play,positive,0.4215,Uncategorized
this app is very necessary app many people found it,5,2025-04-03,CBE,Google Play,neutral,0.0,UI & Usability
cbe very active bank i'm using cbe app very very satisfaction,5,2025-04-03,CBE,Google Play,positive,0.7554,"App Platform, Customer Feedback, UI & Usability, App Source"
it made life alot easier. i cant even imagine having to make all those transactions in person. so this app was crucial for me. very good app. well done.,5,2025-04-03,CBE,Google Play,positive,0.8104,"UI & Usability, Feature Request, Transaction Usage, Functionality, Customer Feedback"
perfect,5,2025-04-03,CBE,Google Play,positive,0.5719,Uncategorized
thankyou,5,2025-04-02,CBE,Google Play,neutral,0.0,Uncategorized
i like it,5,2025-04-02,CBE,Google Play,positive,0.3612,Customer Feedback
"i don't understand the reason, why i need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. this goes out to the dev, i hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,positive,0.3975,"Login & Access, Customer Feedback, UI & Usability, Functionality"
smart app,5,2025-04-02,CBE,Google Play,positive,0.4019,UI & Usability
isin ga'a,2,2025-04-02,CBE,Google Play,neutral,0.0,Uncategorized
it's great,5,2025-04-02,CBE,Google Play,positive,0.6249,Customer Feedback
very good app and stars faction with work,5,2025-04-02,CBE,Google Play,positive,0.4927,"Customer Feedback, UI & Usability, Functionality"
it is excelent,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
smart,5,2025-04-01,CBE,Google Play,positive,0.4019,Uncategorized
በየወሩ አፕደት እየጠየቀኝ ነው ለነገሩ ብር ስሌለኝ ይሆናል እና ምን ለማለት ፈልገ መሰላቹ ወላህ ቼግሮኛል 🥺🥺🥺,3,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
very interesting app,5,2025-04-01,CBE,Google Play,positive,0.4576,UI & Usability
wow.......cbe.....keep it up.....!!!!!!,5,2025-04-01,CBE,Google Play,neutral,0.0,App Source
ጊዜን ቆጣቢ እና ህይወትን ቀለል ከሚያደርጉ ኢትዬጲያ ካሉ ፋይናንስ አፕልኬሽኖች ሁሉ ይሄ ይለያል,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
excellent🙏app,5,2025-04-01,CBE,Google Play,positive,0.5719,UI & Usability
the most useful,5,2025-04-01,CBE,Google Play,positive,0.4927,UI & Usability
i am more satisfied in this app . more sure you have to secure.,4,2025-04-01,CBE,Google Play,positive,0.7956,UI & Usability
easy to use,5,2025-04-01,CBE,Google Play,positive,0.4404,UI & Usability
"very good, but sometimes nur cbe comes without my consent. even if i choose locked, it appears",4,2025-04-01,CBE,Google Play,neutral,0.0252,"App Source, UI & Usability, Feature Request, Customer Feedback, Transaction Speed"
excellent !!!,5,2025-04-01,CBE,Google Play,positive,0.6784,Uncategorized
always we relay on,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
i'm lucky to have this🙏 thank you cbe.,5,2025-04-01,CBE,Google Play,positive,0.6486,App Source
it's need more improvement like tellbirr.,4,2025-04-01,CBE,Google Play,positive,0.7245,"Login & Access, Customer Feedback"
goode app,5,2025-04-01,CBE,Google Play,neutral,0.0,"Customer Feedback, UI & Usability"
a very nice app.👍👍👍,5,2025-04-01,CBE,Google Play,positive,0.4754,"Customer Feedback, UI & Usability"
safe easy & fast,5,2025-04-01,CBE,Google Play,positive,0.7003,"Transaction Speed, UI & Usability"
it's good app,5,2025-04-01,CBE,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
it is veary useful app but screen shout was impossible .solve this problem,5,2025-04-01,CBE,Google Play,negative,-0.2588,UI & Usability
ጥሩ ነው,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
እጅግ በጣም ጥሩ አፕ,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-04-01,CBE,Google Play,neutral,0.0,Uncategorized
suitable app,4,2025-04-01,CBE,Google Play,neutral,0.0,UI & Usability
dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,positive,0.5719,"App Source, UI & Usability, Functionality"
best transaction method of financial,5,2025-04-01,CBE,Google Play,positive,0.6369,Customer Feedback
#cbe is now going to on the right pathway/track/!! thank you cbe one step ahead on payment platform app!!,5,2025-04-01,CBE,Google Play,positive,0.5673,"App Source, UI & Usability"
it literarily don't work at all,4,2025-04-01,CBE,Google Play,neutral,0.0,Functionality
good give us plus,5,2025-04-01,CBE,Google Play,positive,0.4404,Customer Feedback
"very good application. however, i have one functionality recommendation. what if you let the app transfer money to any telebirr account as for mpesa? by the way, i am not the only one to ask this. thank you!",4,2025-04-01,CBE,Google Play,positive,0.7476,"UI & Usability, Developer Feedback, Transaction Usage, Customer Feedback, Transaction Speed"
before update it was able to screenshot while after update i can't able to screenshot the transfere details,4,2025-04-01,CBE,Google Play,neutral,0.0,"Transaction Speed, Feature Request, Functionality"
tnc cbe,5,2025-04-01,CBE,Google Play,neutral,0.0,App Source
it is good app. but you have integrate cbe with cbe birr. to allow cardless withdrawal directly from our accout!,4,2025-03-31,CBE,Google Play,positive,0.5778,"Customer Feedback, UI & Usability, App Source"
great apps,5,2025-03-31,CBE,Google Play,positive,0.6249,"Customer Feedback, UI & Usability"
excellent,5,2025-03-31,CBE,Google Play,positive,0.5719,Uncategorized
great app!,4,2025-03-31,CBE,Google Play,positive,0.6588,"Customer Feedback, UI & Usability"
cbe,5,2025-03-31,CBE,Google Play,neutral,0.0,App Source
very good 👍 👏,5,2025-03-31,CBE,Google Play,positive,0.4927,Customer Feedback
great when it works,5,2025-03-31,CBE,Google Play,positive,0.6249,"Customer Feedback, Functionality"
"the app is very good, but why screenshots is impossible?",5,2025-03-31,CBE,Google Play,positive,0.2724,"Customer Feedback, UI & Usability, Functionality"
excellent match application,5,2025-03-31,CBE,Google Play,positive,0.5719,UI & Usability
the best app😍😍😍,5,2025-03-31,CBE,Google Play,positive,0.9217,"Customer Feedback, UI & Usability"
excellent app,5,2025-03-31,CBE,Google Play,positive,0.5719,UI & Usability
easy to use and user friendly,5,2025-03-31,CBE,Google Play,positive,0.7269,"UI & Usability, Functionality"
very nice,5,2025-03-31,CBE,Google Play,positive,0.4754,Customer Feedback
አሪፍ ነው በተለይ የአሻራ ደህነቱ መረጋገጡ ተመችቶኛል,3,2025-03-31,CBE,Google Play,neutral,0.0,Uncategorized
well software,5,2025-03-31,CBE,Google Play,positive,0.2732,Uncategorized
ጥሩ ነው አንዳንዴ ስታክ ቢያደርግም,4,2025-03-31,CBE,Google Play,neutral,0.0,Uncategorized
cbe very good apps,5,2025-03-31,CBE,Google Play,positive,0.4927,"Customer Feedback, UI & Usability, App Source"
"this application fast, secure and more convenient. thanks cbe",5,2025-03-31,CBE,Google Play,positive,0.6786,"App Source, Transaction Speed, UI & Usability"
excellent service,5,2025-03-31,CBE,Google Play,positive,0.5719,Customer Support
it's best,5,2025-03-31,CBE,Google Play,positive,0.6369,Customer Feedback
why didn't you display cash transactions and bank statement in the mobile banking app?,4,2025-03-31,CBE,Google Play,neutral,0.0,"Customer Feedback, Transaction Usage, UI & Usability, App Purpose"
"hello, i’m facing a problem with the boa mobile app. every time i enter my phone number and password, the app crashes and shows an error that says “boamobile closed because this app has a bug.” i tried updating, reinstalling, and clearing cache, but nothing worked. please fix this bug in the next update. i really need access to my account. thank you.",1,2025-06-03,BOA,Google Play,negative,-0.1884,"Login & Access, App Source, UI & Usability, Feature Request, Developer Feedback, Functionality, Transaction Speed, App Purpose"
exceptional,5,2025-06-03,BOA,Google Play,neutral,0.0,Uncategorized
boa mobile good bank,5,2025-06-02,BOA,Google Play,positive,0.4404,"Customer Feedback, App Purpose, App Source"
this is worest app 24/7 loading,1,2025-06-01,BOA,Google Play,neutral,0.0,UI & Usability
this app is not interest for android phone please update it .,1,2025-06-01,BOA,Google Play,neutral,-0.0464,"UI & Usability, Feature Request"
boa system is confartable,5,2025-06-01,BOA,Google Play,neutral,0.0,App Source
very nice abyssinia bank is choice all,5,2025-05-31,BOA,Google Play,positive,0.4754,Customer Feedback
"this app, for me , is a waste of time. it doesn't work . i can't even long in, and it really piss me off. fix the problem",1,2025-05-27,BOA,Google Play,negative,-0.8491,"Transaction Speed, UI & Usability, Functionality"
good service.,3,2025-05-25,BOA,Google Play,positive,0.4404,"Customer Feedback, Customer Support"
the app crush frequently,1,2025-05-24,BOA,Google Play,negative,-0.1531,UI & Usability
you guys keeps getting worst,1,2025-05-22,BOA,Google Play,negative,-0.6249,Negative Feedback
"this app is a joke. it crashes more than it works, takes forever to load, and half the features are just decorative at this point. can’t log in, can’t transfer money, can’t even check my balance without it bugging out. to the developer: are you actually trying to make this work, or is this some kind of social experiment to test our patience? did you build this in your sleep? because it definitely looks like it. if this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21,BOA,Google Play,positive,0.7757,"UI & Usability, Feature Request, Transaction Usage, Functionality, Customer Feedback, Transaction Speed"
boa,2,2025-05-20,BOA,Google Play,neutral,0.0,App Source
but not opening on android,4,2025-05-19,BOA,Google Play,neutral,0.0,Functionality
worst app ever. totally unreliable. and it didn't work at all for the last 4 months.,1,2025-05-18,BOA,Google Play,negative,-0.6249,"Negative Feedback, UI & Usability, Functionality"
ሞላዬ ከበደ,5,2025-05-14,BOA,Google Play,neutral,0.0,Uncategorized
"this app does no work on samsung a51, it just gives a preview of the logo",1,2025-05-11,BOA,Google Play,negative,-0.296,"UI & Usability, Functionality"
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10,BOA,Google Play,negative,-0.4639,"App Source, UI & Usability, Feature Request, Language/Other, Functionality, Transaction Speed"
liking this application good 👍,5,2025-05-07,BOA,Google Play,positive,0.6808,"Customer Feedback, UI & Usability"
"this app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and otp sent not work",1,2025-05-06,BOA,Google Play,negative,-0.775,"UI & Usability, Feature Request, Functionality, Customer Feedback, Transaction Speed"
it's really good 👍,5,2025-04-23,BOA,Google Play,positive,0.4927,Customer Feedback
bad app . it stuck when you open and noting works.,1,2025-04-23,BOA,Google Play,negative,-0.6705,"Negative Feedback, UI & Usability, Functionality"
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20,BOA,Google Play,neutral,0.0,"UI & Usability, Functionality"
it keeps showing this pop up to turn off developer options even tho it's off! i had to turn on and then off to make it work! this is a horrible experience and needs a fix asap! plus kinda slow.,1,2025-04-19,BOA,Google Play,negative,-0.6571,"Login & Access, Feature Request, Functionality, Customer Feedback, Transaction Speed"
yideg,1,2025-04-18,BOA,Google Play,neutral,0.0,Uncategorized
አይከፍትም እኮ,1,2025-04-17,BOA,Google Play,neutral,0.0,Uncategorized
great boa,5,2025-04-10,BOA,Google Play,positive,0.6249,"Customer Feedback, App Source"
boa of mobile backing,5,2025-04-09,BOA,Google Play,neutral,0.0258,"App Source, App Purpose"
faster bank of abissinya,5,2025-04-08,BOA,Google Play,neutral,0.0,"Customer Feedback, Transaction Speed"
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08,BOA,Google Play,negative,-0.4215,"Customer Feedback, UI & Usability, Functionality"
it just doesn't work...so frustrating,1,2025-04-07,BOA,Google Play,positive,0.3412,Functionality
like,5,2025-04-06,BOA,Google Play,positive,0.3612,Customer Feedback
it's not work correctly... you must have update it,1,2025-04-06,BOA,Google Play,neutral,0.0,"Feature Request, Functionality"
"the app gets a considerable improvements like language , qr scanner and unlimited transfers survice. but boa please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04,BOA,Google Play,positive,0.6844,"App Source, UI & Usability, Transaction Usage, Customer Feedback, Transaction Speed"
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04,BOA,Google Play,positive,0.4939,Uncategorized
good but they don't update enough don't add new things,3,2025-04-04,BOA,Google Play,positive,0.2382,"Customer Feedback, Feature Request, Functionality"
thank you,5,2025-04-02,BOA,Google Play,positive,0.3612,Uncategorized
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01,BOA,Google Play,neutral,0.0,"UI & Usability, Feature Request, Functionality, Customer Feedback, App Purpose"
"after activated the application it not allowed to sign , automatically it is turn off in my phone, why ?",1,2025-03-31,BOA,Google Play,neutral,0.0,UI & Usability
good application,5,2025-03-30,BOA,Google Play,positive,0.4404,"Customer Feedback, UI & Usability"
this version is not working for me i cannot even buy card. i cannot send money,1,2025-03-30,BOA,Google Play,neutral,0.0,"Transaction Usage, Functionality"
"it can't actively on initialization, it says incorrect otp getting the exact otp",1,2025-03-29,BOA,Google Play,negative,-0.2411,Uncategorized
always problematic hardly works,1,2025-03-26,BOA,Google Play,negative,-0.4404,Functionality
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25,BOA,Google Play,positive,0.1045,"Customer Feedback, Negative Feedback, UI & Usability"
"worst app and bank ever u be ashamed, scammer",1,2025-03-24,BOA,Google Play,negative,-0.802,"Customer Feedback, Negative Feedback, UI & Usability"
great boa,5,2025-03-22,BOA,Google Play,positive,0.6249,"Customer Feedback, App Source"
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,BOA,Google Play,positive,0.3182,"UI & Usability, Feature Request, Functionality, Customer Feedback, Transaction Speed, App Purpose"
there is no speed,1,2025-03-19,BOA,Google Play,negative,-0.296,Uncategorized
"for anyone who wants to download it, just don't!!!",1,2025-03-19,BOA,Google Play,neutral,0.0,Functionality
wonderful,5,2025-03-19,BOA,Google Play,positive,0.5719,Uncategorized
all worck,5,2025-03-19,BOA,Google Play,neutral,0.0,Uncategorized
loved it,5,2025-03-14,BOA,Google Play,positive,0.5994,Uncategorized
wow,1,2025-03-14,BOA,Google Play,positive,0.5859,Uncategorized
"edit: new bug, app not letting me type in my otp codes. shameful why does this app not allow me to use it while having developer options on? did y'all consider that i might, perhaps, be an actual developer? why am i expected to toggle the option on and off just to bank (restarting my phone when i do)? why is the message labled as somthing that will ""smoothen"" the experience? this is like the most ""security consultant"" thing to implement in an app. please invest in actual security, not this mess.",1,2025-03-12,BOA,Google Play,positive,0.7962,"Customer Feedback, Transaction Speed, UI & Usability, Functionality"
improved to be the best,5,2025-03-11,BOA,Google Play,positive,0.8074,Customer Feedback
"decent, but there problems sometimes it says error when i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self boe dev fix this !!!",3,2025-03-11,BOA,Google Play,negative,-0.8392,"UI & Usability, Feature Request, Transaction Usage, Functionality, Transaction Speed"
boa greqt ethiopian bank.,5,2025-03-11,BOA,Google Play,neutral,0.0,"Customer Feedback, App Source"
"the bug is still there,the app crashes every time i try to log in, especially in old phones like my galaxy a32",1,2025-03-10,BOA,Google Play,positive,0.3612,"Customer Feedback, Transaction Speed, UI & Usability, Functionality"
almost better compared to cbe where it is not qualified for,4,2025-03-09,BOA,Google Play,positive,0.3832,"App Source, UI & Usability"
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09,BOA,Google Play,positive,0.7334,UI & Usability
wonderfull app,5,2025-03-08,BOA,Google Play,neutral,0.0,UI & Usability
i can't use this app why?,5,2025-03-07,BOA,Google Play,neutral,0.0,UI & Usability
worst mobile banking app i ever experienced i was blaming other apps but comparing with this they're too much better!!!! it clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06,BOA,Google Play,positive,0.3331,"Negative Feedback, UI & Usability, Customer Feedback, Transaction Speed, App Purpose"
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as boa make apps like this. it is a disgrace for our country!!,1,2025-03-05,BOA,Google Play,negative,-0.8205,"App Source, Negative Feedback, UI & Usability, Feature Request, Functionality, Customer Feedback"
aga b girja miss language of admin afaan oromo & other itoophiyaa languages,1,2025-03-04,BOA,Google Play,negative,-0.1531,Uncategorized
"i downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03,BOA,Google Play,neutral,0.0,"Customer Feedback, Transaction Speed, UI & Usability, Functionality"
it has good features but sometimes it doesn't work...0,1,2025-03-02,BOA,Google Play,positive,0.2382,"Customer Feedback, Transaction Speed, Feature Request, Functionality"
very poor proformance,1,2025-03-01,BOA,Google Play,negative,-0.5256,Uncategorized
it's not opening. really frustrating,1,2025-03-01,BOA,Google Play,positive,0.3865,Functionality
verry amazing app from all ib,5,2025-03-01,BOA,Google Play,positive,0.5859,UI & Usability
not working on this days,1,2025-02-26,BOA,Google Play,neutral,0.0,Functionality
thank you boa,5,2025-02-23,BOA,Google Play,positive,0.3612,App Source
best banking app in the wworld,5,2025-02-22,BOA,Google Play,positive,0.6369,"Customer Feedback, UI & Usability, App Purpose"
nice app and it's easy to use,5,2025-02-21,BOA,Google Play,positive,0.6908,"Customer Feedback, UI & Usability"
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15,BOA,Google Play,positive,0.4242,"Customer Feedback, Transaction Speed, UI & Usability, Feature Request"
this is help full i like ittttt,5,2025-02-14,BOA,Google Play,positive,0.6369,Customer Feedback
the is not functional at all?,2,2025-02-12,BOA,Google Play,neutral,0.0,Uncategorized
best bank,5,2025-02-08,BOA,Google Play,positive,0.6369,Customer Feedback
make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07,BOA,Google Play,positive,0.765,"UI & Usability, Feature Request"
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04,BOA,Google Play,neutral,0.0,Uncategorized
i have been using this app for two years.it is amazing.,5,2025-02-01,BOA,Google Play,positive,0.5859,"App Platform, UI & Usability"
good 👍,5,2025-01-31,BOA,Google Play,positive,0.4404,Customer Feedback
sad experience,1,2025-01-30,BOA,Google Play,negative,-0.4767,Transaction Speed
always do update and that is annoying,3,2025-01-27,BOA,Google Play,negative,-0.4019,Feature Request
"best app, somehow waiting a few minutes",5,2025-01-23,BOA,Google Play,positive,0.6369,"Customer Feedback, UI & Usability"
i can't dijitalize my atm in the apollo app on my phone,1,2025-01-22,BOA,Google Play,neutral,0.0,UI & Usability
whenever i try to sign in app close please fixed it out,2,2025-01-21,BOA,Google Play,positive,0.3182,"UI & Usability, Functionality"
beter,5,2025-01-21,BOA,Google Play,neutral,0.0,Uncategorized
boa,4,2025-01-18,BOA,Google Play,neutral,0.0,App Source
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ it's not app it's very slow ehhhh. why don't you upgrade the app???? it's always zero,1,2025-01-18,BOA,Google Play,neutral,0.0,"Language/Other, UI & Usability, Feature Request, Functionality"
aadan axmed barkhadle,5,2025-01-17,BOA,Google Play,neutral,0.0,Uncategorized
😡😡😡🤬🤬🤬,1,2025-01-16,BOA,Google Play,neutral,0.0,Uncategorized
horrible customer service and app crashes horrible!!,1,2025-01-15,BOA,Google Play,negative,-0.8217,"Customer Support, UI & Usability"
i love it,5,2025-01-14,BOA,Google Play,positive,0.6369,Uncategorized
it keeps asking me to turn off developer mode even when dev mode is off. couldn't use it.,1,2025-01-13,BOA,Google Play,neutral,0.0,"Customer Feedback, UI & Usability"
good🙏,5,2025-01-12,BOA,Google Play,positive,0.4404,Customer Feedback
like to much,5,2025-01-11,BOA,Google Play,positive,0.3612,Customer Feedback
thank you,5,2025-01-10,BOA,Google Play,positive,0.3612,Uncategorized
perfect,5,2025-01-09,BOA,Google Play,positive,0.5719,Uncategorized
the best of best,5,2025-01-09,BOA,Google Play,positive,0.8555,Customer Feedback
i was using this app for long time it amazing user friendly ui but the i can't found for get pin button in the app,3,2025-01-07,BOA,Google Play,positive,0.5423,"App Platform, Transaction Speed, UI & Usability, Functionality"
great 👍,5,2025-01-04,BOA,Google Play,positive,0.6249,Customer Feedback
fast and suitable for the customers.,5,2025-01-04,BOA,Google Play,neutral,0.0,Transaction Speed
good app and helpful,5,2025-01-03,BOA,Google Play,positive,0.6908,"Customer Feedback, UI & Usability"
"i will give only one star, because it faced with multiple of problems. 1. the app is not as fast as the other banks app, for e.g like cbe 2. the app asks repeatedly to switch off developer options, even if it is switched off. 3. bank of abyssinia's services are interesting, but they ignored the issues on the app service. 4. most customers gave a complain on the app, but no one accept their complain to fix the issue. 5. lastly, i will not recommend the app unless the issue has been solved asap!!",1,2025-01-03,BOA,Google Play,negative,-0.931,"App Source, Customer Support, UI & Usability, Functionality, Customer Feedback, Transaction Speed"
by assessing this you can tell abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,BOA,Google Play,negative,-0.296,"Customer Feedback, App Purpose"
it doesn't work at all.,2,2025-01-02,BOA,Google Play,neutral,0.0,Functionality
this app is not available,1,2025-01-02,BOA,Google Play,neutral,0.0,UI & Usability
wow what amazing,5,2024-12-30,BOA,Google Play,positive,0.8225,UI & Usability
love it,5,2024-12-30,BOA,Google Play,positive,0.6369,Uncategorized
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,BOA,Google Play,neutral,0.0,Uncategorized
lemn embi yilal??,5,2024-12-30,BOA,Google Play,neutral,0.0,Language/Other
it's useless app downgraded.,1,2024-12-29,BOA,Google Play,negative,-0.4215,UI & Usability
why is not letting me access my account. the whole point of this app is for me to gey access to my account without physically being at the bank. i would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,BOA,Google Play,neutral,0.0,"Customer Feedback, UI & Usability, Developer Feedback"
nice,5,2024-12-26,BOA,Google Play,positive,0.4215,Customer Feedback
when are you going to get rid of this and have a real app that works? by far the worst mobile banking app.,1,2024-12-24,BOA,Google Play,negative,-0.6249,"Negative Feedback, UI & Usability, Functionality, Customer Feedback, App Purpose"
አይሰራም ሼም ነው፤,1,2024-12-23,BOA,Google Play,neutral,0.0,Uncategorized
not that much bad,3,2024-12-22,BOA,Google Play,positive,0.431,Negative Feedback
fine,5,2024-12-21,BOA,Google Play,positive,0.2023,Uncategorized
the dirtiest application ever seen...,1,2024-12-20,BOA,Google Play,negative,-0.5267,UI & Usability
nic ap,5,2024-12-19,BOA,Google Play,neutral,0.0,Uncategorized
the forest app ever,1,2024-12-19,BOA,Google Play,neutral,0.0,UI & Usability
"i love boa more than anyone but they are cursed when it comed to mobile banking. even though this ine is hetter it still s*cks! it will ask me to turn off developer options other wise it won't work! i use cbe, awash birr, tekebirr, dashen bank and others but non of them asked me this, why only boa? please improve your mobile banking, be competitive!",1,2024-12-19,BOA,Google Play,positive,0.9475,"App Source, UI & Usability, Functionality, Customer Feedback, App Purpose"
bank of abissena,1,2024-12-17,BOA,Google Play,neutral,0.0,Customer Feedback
"easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,BOA,Google Play,positive,0.7003,"App Platform, Transaction Usage, UI & Usability"
good,5,2024-12-15,BOA,Google Play,positive,0.4404,Customer Feedback
the worst banking app ever. never works!,1,2024-12-14,BOA,Google Play,negative,-0.6588,"Negative Feedback, UI & Usability, Functionality, Customer Feedback, App Purpose"
poorly functioning app,3,2024-12-13,BOA,Google Play,neutral,0.0,UI & Usability
very nice,5,2024-12-13,BOA,Google Play,positive,0.4754,Customer Feedback
your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,BOA,Google Play,negative,-0.296,"Negative Feedback, UI & Usability"
it has been a while since you guys started giving the mobile app service but still couldn't get it to work. i'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. you are losing business because of this. complacency will have consequences.,1,2024-12-10,BOA,Google Play,negative,-0.8622,"App Purpose, Customer Support, UI & Usability, Functionality"
"this is the best app; many features are awesome, but it should work without the need to turn off the developer options. i'm tired of having to constantly switch the developer options off and on. i've been expressing my struggles about this. i have precious settings enabled in the developer options, and to open the app boa app, i have to turn them off. please help us, abyssinia bank. i hope you can provide an update soon.",4,2024-12-08,BOA,Google Play,positive,0.9253,"Login & Access, App Source, UI & Usability, Feature Request, Functionality, Customer Feedback"
"i’m giving this app one star because there are no options below that. my experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. people choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst i’ve used. i hope improvements are made to enhance the user experience.",1,2024-12-07,BOA,Google Play,negative,-0.2135,"Negative Feedback, UI & Usability, Feature Request, Functionality, Customer Feedback, Transaction Speed, App Purpose"
very unprofessional and mischievous bank in my opinion. i have had several occasions but recently i used abyssinia card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but i learned yesterday that since it has been 3 months the bank has decided to include it in their income. how absurd. if you can avoid this bank.,1,2024-12-06,BOA,Google Play,negative,-0.6245,"UI & Usability, Feature Request, Developer Feedback, Transaction Usage, Functionality, Customer Feedback, Transaction Speed"
it doesn't work on my 2 devices a05 and a34 😡,1,2024-12-02,BOA,Google Play,neutral,0.0,Functionality
it's better to say i don't use boa rather than pulling your phone out and opening this app,1,2024-12-01,BOA,Google Play,positive,0.4404,"App Source, UI & Usability, Functionality"
my attention is very important because it will be the most difficult time for me,5,2024-11-30,BOA,Google Play,negative,-0.1779,"Transaction Speed, UI & Usability"
"i have a worst experience while using this mobile application through out the year. most of the time it fails to ""login"" or automatically closed the app. and also it takes so much loading time (5 minutes +) trying to access the internal services. sometimes also while transferring within and to other bank also fails. so, boa please fix your app.",1,2024-11-29,BOA,Google Play,negative,-0.8126,"App Source, Negative Feedback, Customer Support, UI & Usability, Feature Request, Functionality, App Platform, Customer Feedback, Transaction Speed, App Purpose"
i don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,BOA,Google Play,positive,0.7684,"Customer Feedback, UI & Usability, Functionality"
this application is losing major factions on a daily basis. i can count how many times i have used this app; it is completely useless and disappointing if i am not going to use it in times of need then i don't see the point.,1,2024-11-28,BOA,Google Play,negative,-0.8464,"Login & Access, UI & Usability, Feature Request, Functionality, Transaction Speed"
exellent digital transaction of money,5,2024-11-27,BOA,Google Play,neutral,0.0,Transaction Usage
the latest update has stopped android 9 phones not to open this app. never work properly since i started using it.,1,2024-11-26,BOA,Google Play,negative,-0.2263,"App Platform, UI & Usability, Feature Request, Functionality"
great,5,2024-11-25,BOA,Google Play,positive,0.6249,Customer Feedback
👏👏👏,5,2024-11-24,BOA,Google Play,neutral,0.0,Uncategorized
money,5,2024-11-24,BOA,Google Play,neutral,0.0,Transaction Usage
it needs more improvment,2,2024-11-24,BOA,Google Play,neutral,0.0,"Login & Access, Feature Request"
hey google,5,2024-11-21,BOA,Google Play,neutral,0.0,Uncategorized
ab,3,2024-11-20,BOA,Google Play,neutral,0.0,Uncategorized
ademtahir,5,2024-11-20,BOA,Google Play,neutral,0.0,Uncategorized
